[Byte Buddy] DISCOVERY org.codehaus.plexus.classworlds.launcher.ConfigurationHandler [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.codehaus.plexus.classworlds.launcher.ConfigurationHandler [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.codehaus.plexus.classworlds.launcher.ConfigurationHandler [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.codehaus.plexus.classworlds.launcher.ConfigurationParser [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.codehaus.plexus.classworlds.launcher.ConfigurationParser [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.codehaus.plexus.classworlds.launcher.ConfigurationParser [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.io.InputStreamReader [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.io.InputStreamReader [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.io.InputStreamReader [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.io.FileNotFoundException [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.io.FileNotFoundException [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.io.FileNotFoundException [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY sun.nio.cs.StreamDecoder [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE sun.nio.cs.StreamDecoder [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE sun.nio.cs.StreamDecoder [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY sun.nio.cs.UTF_8$Decoder [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE sun.nio.cs.UTF_8$Decoder [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE sun.nio.cs.UTF_8$Decoder [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.nio.charset.CharsetDecoder [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.nio.charset.CharsetDecoder [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.nio.charset.CharsetDecoder [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.util.SortedSet [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.util.SortedSet [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.util.SortedSet [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.util.TreeSet [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.util.TreeSet [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.util.TreeSet [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.util.NavigableSet [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.util.NavigableSet [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.util.NavigableSet [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.util.TreeMap [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.util.TreeMap [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.util.TreeMap [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.util.NavigableMap [null, module java.base, Thread[main,5,main], loaded=false]
